4TN4 Majorstuen-Nationaltheatret
4TN4 Majorstuen-Nationaltheatret
4TN4 Majorstuen-Nationaltheatret
4TN4 Nationaltheatret-Stortinget
4TN4 Nationaltheatret-Stortinget
4TN4 Nationaltheatret-Stortinget
4TN4 Nationaltheatret-Stortinget
4TN4 Nationaltheatret-Stortinget
4TN4 Stortinget-Jernbanetorget
4TN4 Stortinget-Jernbanetorget
4TN4 Stortinget-Jernbanetorget
4TN4 Stortinget-Jernbanetorget
4TN4 Stortinget-Jernbanetorget
4TN4 Jernbanetorget-Grønland
4TN4 Jernbanetorget-Grønland
4TN4 Jernbanetorget-Grønland
4TN4 Jernbanetorget-Grønland
4TN4 Jernbanetorget-Grønland
4TN4 Grønland-Tøyen
4TN4 Grønland-Tøyen
4TN4 Grønland-Tøyen
4TN4 Grønland-Tøyen
4TN4 Grønland-Tøyen
4TN4 Tøyen-Ensjø
4TN4 Tøyen-Ensjø
4TN4 Tøyen-Ensjø
4TN4 Tøyen-Ensjø
4TN4 Ensjø-Helsfyr
4TN4 Ensjø-Helsfyr
4TN4 Ensjø-Helsfyr
4TN4 Ensjø-Helsfyr
4TN4 Helsfyr-Brynseng
4TN4 Helsfyr-Brynseng
4TN4 Helsfyr-Brynseng
4TN4 Helsfyr-Brynseng
4TN4 Brynseng-Høyenhall
4TN4 Brynseng-Høyenhall
4TN4 Høyenhall-Manglerud
4TN4 Høyenhall-Manglerud
4TN4 Manglerud-Ryen
4TN4 Manglerud-Ryen
4TN4 Ryen-Brattlikollen
4TN4 Ryen-Brattlikollen
4TN4 Brattlikollen-Karlsrud
4TN4 Brattlikollen-Karlsrud
4TN4 Karlsrud-Lambertseter
4TN4 Karlsrud-Lambertseter
4TN4 Lambertseter-Munkelia
4TN4 Lambertseter-Munkelia
4TN4 Munkelia-Bergkrystallen
4TN4 Munkelia-Bergkrystallen

5TN5 Sognsvann-Kringsjå
5TN5 Kringsjå-Holstein
5TN5 Holstein-Østhorn
5TN5 Østhorn-Tåsen
5TN5 Tåsen-Berg
5TN5 Berg-UllevålStadion
5TN5 UllevålStadion-Forskningsparken
5TN5 UllevålStadion-Forskningsparken
5TN5 Forskningsparken-Blindern
5TN5 Forskningsparken-Blindern
5TN5 Blindern-Majorstuen
5TN5 Blindern-Majorstuen
5TN5 Majorstuen-Nationaltheatret
5TN5 Majorstuen-Nationaltheatret
5TN5 Majorstuen-Nationaltheatret
5TN5 Majorstuen-Nationaltheatret
5TN5 Majorstuen-Nationaltheatret
5TN5 Nationaltheatret-Stortinget
5TN5 Nationaltheatret-Stortinget
5TN5 Nationaltheatret-Stortinget
5TN5 Nationaltheatret-Stortinget
5TN5 Nationaltheatret-Stortinget
5TN5 Stortinget-Jernbanetorget
5TN5 Stortinget-Jernbanetorget
5TN5 Stortinget-Jernbanetorget
5TN5 Stortinget-Jernbanetorget
5TN5 Stortinget-Jernbanetorget
5TN5 Jernbanetorget-Grønland
5TN5 Jernbanetorget-Grønland
5TN5 Jernbanetorget-Grønland
5TN5 Jernbanetorget-Grønland
5TN5 Jernbanetorget-Grønland
5TN5 Grønland-Tøyen
5TN5 Grønland-Tøyen
5TN5 Grønland-Tøyen
5TN5 Grønland-Tøyen
5TN5 Grønland-Tøyen
5TN5 Tøyen-CarlBernersPlass
5TN5 CarlBernersPlass-Sinsen
5TN5 Sinsen-Storo
5TN5 Sinsen-Storo
5TN5 Storo-Nydalen
5TN5 Storo-Nydalen
5TN5 Nydalen-UllevålStadion
5TN5 Nydalen-UllevålStadion
5TN5 UllevålStadion-Forskningsparken
